Year,League,Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
1935,NL,New York Giants,28,28.2,4.94,156,6163,5623,770,1608,248,56,123,703,32,36,392,479,.286,.336,.416,.752,102,2337,117,32,116,,38,1220
1935,NL,Philadelphia Phillies,32,29.6,4.39,156,5946,5442,685,1466,249,32,92,624,52,54,392,661,.269,.322,.378,.699,80,2055,91,26,84,,20,1112
1935,NL,Pittsburgh Pirates,29,28.1,4.86,153,5977,5415,743,1543,255,90,66,682,30,36,457,437,.285,.343,.402,.745,97,2176,135,24,77,,32,1168
1935,NL,St. Louis Cardinals,36,28.4,5.38,154,5977,5457,829,1548,286,59,86,762,71,62,404,521,.284,.335,.405,.740,95,2210,100,19,97,,33,1044
1935,AL,Boston Red Sox,33,28.6,4.66,154,6062,5288,718,1458,281,63,69,660,91,59,612,470,.276,.353,.392,.745,88,2072,,21,137,,23,1216
1935,AL,Chicago White Sox,32,30.3,4.82,153,6030,5314,738,1460,262,42,74,690,46,28,580,405,.275,.348,.382,.730,87,2028,,19,112,,27,1204
1935,AL,Cleveland Indians,29,26.3,4.97,156,6102,5534,776,1573,324,77,93,737,63,54,459,567,.284,.341,.421,.762,94,2330,,17,87,,37,1147
1935,AL,Detroit Tigers,27,28.9,6.04,152,6183,5423,918,1573,301,83,106,841,70,45,628,453,.290,.366,.435,.801,110,2358,,19,112,,38,1224
1935,AL,New York Yankees,27,28.4,5.49,149,5920,5214,818,1462,255,70,104,756,68,46,604,469,.280,.358,.416,.774,104,2169,,28,71,,42,1160
1935,AL,Philadelphia Athletics,39,27.0,4.77,149,5850,5269,710,1470,243,44,112,674,43,35,477,603,.279,.341,.406,.746,93,2137,,17,86,,23,1109
1935,AL,St. Louis Browns,34,28.1,4.63,155,6089,5365,718,1446,291,51,73,674,45,25,591,558,.270,.344,.384,.727,85,2058,,14,116,,28,1196
1935,AL,Washington Nationals,38,28.5,5.34,154,6308,5592,823,1591,255,95,32,762,54,37,599,407,.285,.358,.381,.739,93,2132,,37,74,,17,1306
1935,NNL2,Brooklyn Eagles,30,29.7,5.93,55,2076,1847,326,540,89,17,22,289,71,,181,228,.292,.357,.395,.752,90,729,,5,43,,,
1935,NNL2,Chicago American Giants,20,29.5,5.92,48,1885,1655,284,469,65,25,34,261,33,,162,243,.283,.353,.415,.767,93,686,,15,53,,,
1935,NNL2,Columbus Elite Giants,19,26.3,6.23,31,1253,1107,193,326,51,21,20,171,11,,107,175,.294,.360,.433,.793,100,479,,6,33,,,
1935,NNL2,Homestead Grays,24,27.9,6.89,46,1793,1577,317,477,109,29,34,292,31,,159,179,.302,.371,.473,.844,112,746,,12,45,,,
1935,NNL2,Newark Dodgers,27,26.2,4.88,40,1443,1302,195,362,70,18,16,179,30,,101,159,.278,.333,.396,.730,84,516,,7,33,,,
1935,NNL2,New York Cubans,25,30.0,4.90,42,1587,1396,206,372,75,13,21,187,29,,132,224,.266,.335,.384,.719,82,536,,13,46,,,
1935,NNL2,Pittsburgh Crawfords,19,28.8,7.12,52,2095,1869,370,573,110,37,31,341,52,,169,202,.307,.367,.455,.822,107,850,,10,47,,,
1935,NNL2,Philadelphia Stars,25,32.5,5.58,60,2214,1937,335,554,80,31,29,297,29,,198,208,.286,.354,.404,.758,91,783,,6,73,,,
1940,NNL2,Baltimore Elite Giants,30,27.6,6.41,61,2375,2078,391,580,104,34,34,354,37,,245,256,.279,.360,.411,.771,100,854,4,17,35,,2,
1940,NNL2,Homestead Grays,26,30.5,5.86,56,2082,1829,328,528,75,37,24,286,46,,205,230,.289,.364,.410,.774,101,749,4,13,35,,4,
1940,NNL2,New York Black Yankees,29,29.5,4.52,33,1167,1040,149,274,48,9,9,129,14,,99,150,.263,.332,.353,.685,78,367,0,8,20,,0,
1940,NNL2,Newark Eagles,28,27.4,6.78,40,1501,1317,271,397,58,16,39,250,20,,153,156,.301,.377,.459,.835,117,604,2,6,25,,1,
1940,NNL2,New York Cubans,24,28.8,4.90,29,1142,1018,142,260,36,9,13,126,7,,102,126,.255,.324,.347,.671,75,353,1,2,20,,1,
1940,NNL2,Philadelphia Stars,36,25.1,5.06,63,2264,2005,319,551,93,32,27,280,16,,217,256,.275,.348,.394,.741,93,789,2,8,34,,2,
1940,NNL,Birmingham Black Barons,30,24.3,4.20,30,1066,972,126,244,25,12,8,103,14,,69,163,.251,.307,.326,.633,89,317,0,9,16,,0,
1940,NNL,Chicago American Giants,26,28.1,3.43,23,798,702,79,163,22,4,7,73,4,,73,127,.232,.308,.305,.613,83,214,1,4,19,,0,
1940,NNL,Cleveland Bears,27,27.1,5.19,27,997,847,140,187,23,7,3,111,28,,112,139,.221,.321,.275,.596,78,233,0,13,25,,0,
1940,NNL,Kansas City Monarchs,25,29.3,5.97,38,1410,1261,227,362,53,21,12,200,52,,110,162,.287,.351,.391,.742,122,493,0,14,25,,0,
1940,NNL,Memphis Red Sox,28,28.5,4.08,48,1698,1507,196,372,53,12,8,158,41,,147,204,.247,.317,.314,.631,89,473,1,9,35,,2,
1940,NNL,St. Louis-New Orleans Stars,27,26.8,4.90,29,1073,933,142,244,39,12,3,123,29,,112,141,.262,.346,.339,.685,105,316,0,9,19,,0,
1940,NNL,Toledo/Indianapolis Crawfords,20,24.0,3.46,13,476,424,45,89,10,6,4,38,21,0,39,94,.210,.284,.290,.574,72,123,0,5,8,0,0,
1945,NNL2,Baltimore Elite Giants,27,30.8,5.64,56,2145,1918,316,538,80,42,21,268,28,,179,234,.281,.346,.399,.745,108,765,,12,36,,2,
1945,NNL2,Homestead Grays,28,33.5,5.40,50,1948,1705,270,466,62,23,15,241,19,,206,242,.273,.354,.363,.717,100,619,,7,30,,4,
1945,NNL2,New York Black Yankees,26,29.0,4.26,31,1181,1062,132,269,46,14,5,108,10,,92,146,.253,.316,.337,.653,82,358,,5,22,,0,
1945,NNL2,Newark Eagles,26,27.6,4.64,22,845,754,102,182,22,7,11,87,9,,72,108,.241,.313,.333,.646,81,251,,7,12,,1,
1945,NNL2,New York Cubans,28,31.2,3.37,30,1055,958,101,215,32,15,7,85,10,,74,153,.224,.285,.311,.596,66,298,,7,16,,0,
1945,NNL2,Philadelphia Stars,32,29.1,5.75,51,2004,1786,293,523,65,27,14,246,24,,173,240,.293,.358,.383,.741,107,684,,7,38,,1,
1945,NNL,Birmingham Black Barons,37,28.5,4.44,27,993,911,120,246,35,23,6,101,10,,52,149,.270,.312,.379,.691,102,345,,4,26,,0,
1945,NNL,Chicago American Giants,27,28.4,5.38,37,1389,1260,199,340,37,20,8,173,12,,115,192,.270,.332,.350,.682,100,441,,3,11,,0,
1945,NNL,Cleveland Buckeyes,24,28.6,4.91,22,824,756,108,203,25,15,3,92,18,0,52,109,.269,.319,.353,.672,96,267,,4,12,,0,
1945,NNL,Cincinnati-Indianapolis Clowns,29,26.8,3.68,22,821,749,81,174,15,9,4,71,7,0,60,144,.232,.290,.292,.583,71,219,,1,11,,2,
1945,NNL,Kansas City Monarchs,30,30.0,5.22,50,1845,1694,261,472,75,21,10,226,41,,110,183,.279,.326,.365,.691,102,619,,9,32,,0,
1945,NNL,Memphis Red Sox,30,29.6,4.42,24,885,794,106,181,30,10,8,83,7,,67,103,.228,.293,.321,.614,80,255,,6,18,,1,
1940,NL,Brooklyn Dodgers,40,28.4,4.47,156,6093,5470,697,1421,256,70,93,653,56,63,522,570,.260,.327,.383,.710,90,2096,112,20,77,,50,1128
1940,NL,Boston Bees,41,26.3,4.10,152,5810,5329,623,1366,219,50,59,558,48,43,402,581,.256,.311,.349,.660,87,1862,101,17,62,,43,1078
1940,NL,Chicago Cubs,29,28.9,4.42,154,5972,5389,681,1441,272,48,86,627,63,68,482,566,.267,.331,.384,.714,99,2067,108,29,70,,52,1111
1940,NL,Cincinnati Reds,33,28.8,4.56,155,5986,5372,707,1427,264,38,89,649,72,41,453,503,.266,.327,.379,.706,93,2034,108,36,125,,53,1125
1940,NL,New York Giants,29,28.7,4.36,152,5901,5324,663,1423,201,46,91,614,45,47,453,478,.267,.329,.374,.703,93,1989,130,37,86,,46,1146
1940,NL,Philadelphia Phillies,42,27.4,3.23,153,5673,5137,494,1225,180,35,75,459,25,40,435,527,.238,.300,.331,.631,77,1700,115,14,87,,37,1032
1940,NL,Pittsburgh Pirates,36,27.6,5.19,156,6117,5466,809,1511,276,68,76,740,69,71,553,494,.276,.346,.394,.740,105,2151,116,33,63,,45,1139
1940,NL,St. Louis Cardinals,38,27.1,4.79,156,6093,5499,747,1514,266,61,119,709,97,35,479,610,.275,.336,.411,.747,101,2259,103,21,88,,53,1182
1940,AL,Boston Red Sox,33,28.1,5.66,154,6174,5481,872,1566,301,80,145,808,55,49,590,597,.286,.356,.449,.806,104,2462,129,12,91,,41,1168
1940,AL,Chicago White Sox,27,29.4,4.74,155,6007,5386,735,1499,238,63,73,671,52,60,497,569,.278,.340,.387,.727,87,2082,123,10,110,,32,1124
1940,AL,Cleveland Indians,30,26.7,4.58,155,5960,5361,710,1422,287,61,101,661,53,36,519,598,.265,.332,.398,.730,90,2134,111,16,61,,51,1170
1940,AL,Detroit Tigers,35,29.4,5.73,155,6189,5418,888,1549,312,65,134,829,66,38,664,554,.286,.366,.442,.808,101,2393,115,24,77,,33,1217
1940,AL,New York Yankees,27,28.1,5.27,155,6047,5286,817,1371,243,66,155,759,59,36,647,605,.259,.344,.418,.762,100,2211,124,36,76,,42,1143
1940,AL,Philadelphia Athletics,34,26.9,4.56,154,5951,5304,703,1391,242,53,105,648,48,33,556,655,.262,.334,.387,.722,89,2054,127,19,69,,19,1125
1940,AL,St. Louis Browns,32,28.2,4.85,156,6051,5416,757,1423,278,58,118,715,51,40,556,638,.263,.333,.401,.734,88,2171,105,16,63,,32,1154
1940,AL,Washington Nationals,35,26.8,4.32,154,5916,5365,665,1453,266,67,52,602,94,40,465,504,.271,.331,.374,.706,88,2009,100,18,61,,27,1155
1945,NL,Brooklyn Dodgers,42,29.1,5.13,155,6191,5418,795,1468,257,71,57,722,77,40,630,433,.271,.350,.376,.726,103,2038,87,25,111,,80,1249
1945,NL,Boston Braves,42,28.8,4.68,154,6086,5441,721,1453,229,25,101,668,82,48,522,511,.267,.334,.374,.708,97,2035,107,26,91,,40,1162
1945,NL,Chicago Cubs,36,29.8,4.74,155,6035,5298,735,1465,229,52,57,674,69,28,555,462,.277,.349,.372,.720,102,1969,93,32,150,,83,1256
1945,NL,Cincinnati Reds,34,29.2,3.48,154,5799,5283,536,1317,221,26,56,498,71,43,392,532,.249,.304,.333,.637,78,1758,112,26,95,,52,1105
1945,NL,New York Giants,39,28.7,4.34,154,5995,5350,668,1439,175,35,114,626,38,28,501,457,.269,.336,.379,.715,98,2026,111,40,100,,69,1212
1945,NL,Philadelphia Phillies,46,30.0,3.56,154,5740,5203,548,1278,197,27,56,503,54,49,449,501,.246,.307,.326,.634,79,1697,113,15,71,,26,1060
1945,NL,Pittsburgh Pirates,32,29.1,4.86,155,6043,5343,753,1425,259,56,72,695,81,49,589,481,.267,.341,.377,.718,96,2012,122,17,88,,51,1142
1945,NL,St. Louis Cardinals,37,28.1,4.88,155,6168,5487,756,1498,256,44,64,698,55,33,515,488,.273,.338,.371,.709,95,2034,75,26,138,,59,1241
1945,AL,Boston Red Sox,37,30.3,3.82,157,6019,5367,599,1393,225,44,50,559,72,50,541,534,.260,.330,.346,.676,95,1856,117,23,87,,32,1226
1945,AL,Chicago White Sox,27,31.7,3.97,150,5663,5077,596,1330,204,55,22,544,78,54,470,467,.262,.326,.337,.663,95,1710,120,14,100,,53,1062
1945,AL,Cleveland Indians,36,27.7,3.79,147,5538,4898,557,1249,216,48,65,521,19,31,505,577,.255,.326,.359,.685,103,1756,116,14,119,,49,1093
1945,AL,Detroit Tigers,37,32.4,4.08,155,5887,5257,633,1345,227,47,77,588,60,54,517,533,.256,.324,.361,.684,93,1897,112,9,102,,47,1107
1945,AL,New York Yankees,32,30.2,4.45,152,5928,5176,676,1343,189,61,93,639,64,43,619,566,.259,.343,.373,.716,104,1933,102,36,95,,43,1198
1945,AL,Philadelphia Athletics,37,29.0,3.23,153,5864,5296,494,1297,201,37,33,439,25,45,450,460,.245,.306,.316,.622,82,1671,105,20,96,,23,1147
1945,AL,St. Louis Browns,31,30.4,3.88,154,5868,5227,597,1302,215,37,63,557,25,31,500,555,.249,.316,.341,.657,86,1780,102,15,124,,42,1139
1945,AL,Washington Nationals,34,31.3,3.99,156,6011,5326,622,1375,197,63,27,569,110,65,544,488,.258,.330,.334,.664,101,1779,116,23,114,,36,1175
1950,NL,Brooklyn Dodgers,37,27.5,5.46,155,6086,5364,847,1461,247,46,194,774,77,45,607,632,.272,.349,.444,.793,105,2382,139,27,88,,68,1109
1950,NL,Boston Braves,35,29.2,5.03,156,6083,5363,785,1411,246,36,148,726,71,32,615,616,.263,.342,.405,.747,101,2173,136,27,74,,55,1152
1950,NL,Chicago Cubs,32,27.5,4.18,154,5796,5230,643,1298,224,47,161,615,46,43,479,767,.248,.315,.401,.716,88,2099,122,31,54,,26,999
1950,NL,Cincinnati Reds,34,27.5,4.27,153,5846,5253,654,1366,257,27,99,617,37,40,504,497,.260,.327,.376,.702,84,1974,135,16,72,,38,1091
1950,NL,New York Giants,34,27.0,4.77,154,5988,5238,735,1352,204,50,133,684,42,35,627,629,.258,.342,.392,.734,92,2055,104,41,75,,20,1151
1950,NL,Philadelphia Phillies,32,26.5,4.60,157,6053,5426,722,1440,225,55,125,673,33,24,535,569,.265,.334,.396,.730,93,2150,144,24,66,,57,1153
1950,NL,Pittsburgh Pirates,40,28.6,4.42,154,5983,5327,681,1404,227,59,138,634,43,48,564,693,.264,.338,.406,.744,92,2163,142,31,54,,37,1139
1950,NL,St. Louis Cardinals,40,29.1,4.53,153,5919,5215,693,1353,255,50,102,646,23,26,606,604,.259,.339,.386,.725,87,2014,123,23,73,,42,1167
1950,AL,Boston Red Sox,41,29.8,6.67,154,6322,5516,1027,1665,287,61,161,974,32,17,719,580,.302,.385,.464,.848,108,2557,153,25,62,,28,1255
1950,AL,Chicago White Sox,43,28.5,4.01,156,5946,5260,625,1368,172,47,93,592,19,22,549,567,.260,.333,.364,.697,81,1913,156,28,106,,22,1171
1950,AL,Cleveland Indians,30,29.2,5.20,155,6081,5263,806,1417,222,46,164,758,40,34,693,623,.269,.358,.422,.781,103,2223,146,38,86,,35,1173
1950,AL,Detroit Tigers,30,28.2,5.33,157,6233,5381,837,1518,285,50,114,788,23,40,722,481,.282,.369,.417,.786,98,2245,162,19,110,,32,1234
1950,AL,New York Yankees,38,29.2,5.90,155,6165,5361,914,1511,234,70,159,860,41,28,687,458,.282,.367,.441,.807,108,2362,122,31,85,,24,1192
1950,AL,Philadelphia Athletics,33,31.2,4.35,154,5996,5212,670,1361,204,53,100,627,42,25,685,491,.261,.349,.378,.728,88,1971,170,23,73,,21,1207
1950,AL,St. Louis Browns,36,25.5,4.44,154,5971,5163,684,1269,235,43,106,642,39,40,691,742,.246,.337,.370,.707,78,1908,138,20,97,,18,1140
1950,AL,Washington Nationals,41,28.6,4.45,155,6030,5251,690,1365,190,53,76,659,42,25,672,605,.260,.347,.360,.707,85,1889,134,32,74,,28,1219
1955,NL,Brooklyn Dodgers,32,29.7,5.56,154,6037,5193,857,1406,230,44,201,800,79,56,674,718,.271,.356,.448,.804,109,2327,132,41,75,54,62,1112
1955,NL,Chicago Cubs,37,28.5,4.06,154,5767,5214,626,1287,187,55,164,597,37,35,428,806,.247,.305,.398,.703,85,2076,107,22,69,33,45,995
1955,NL,Cincinnati Redlegs,41,27.8,4.94,154,5981,5270,761,1424,216,28,181,726,51,36,556,657,.270,.341,.425,.766,98,2239,104,33,76,43,50,1125
1955,NL,Milwaukee Braves,32,27.2,4.82,154,5921,5277,743,1377,219,55,182,699,42,27,504,735,.261,.326,.427,.753,102,2252,113,28,72,39,67,1056
1955,NL,New York Giants,33,28.6,4.56,154,5941,5288,702,1377,173,34,169,643,38,22,497,581,.260,.325,.402,.727,92,2125,108,36,69,50,44,1090
1955,NL,Philadelphia Phillies,44,28.9,4.38,154,5866,5092,675,1300,214,50,132,631,44,32,652,673,.255,.340,.395,.735,97,2010,139,24,53,43,39,1121
1955,NL,Pittsburgh Pirates,42,25.6,3.64,154,5791,5173,560,1262,210,60,91,532,22,22,471,652,.244,.308,.361,.668,79,1865,132,21,93,32,64,1082
1955,NL,St. Louis Cardinals,40,28.1,4.25,154,5857,5266,654,1375,228,36,143,608,64,59,458,597,.261,.321,.400,.721,91,2104,122,31,56,44,53,1037
1955,AL,Baltimore Orioles,54,29.3,3.46,156,5937,5257,540,1263,177,39,54,503,34,46,562,740,.240,.314,.320,.634,78,1680,127,19,70,27,31,1164
1955,AL,Boston Red Sox,40,27.6,4.90,154,6134,5273,755,1392,241,39,137,709,43,17,707,730,.264,.351,.402,.753,96,2122,125,29,69,53,44,1258
1955,AL,Chicago White Sox,44,30.2,4.68,155,6002,5220,725,1401,204,36,116,677,69,45,568,595,.268,.344,.388,.732,96,2025,117,58,111,43,40,1182
1955,AL,Cleveland Indians,43,30.4,4.53,154,6051,5146,698,1325,195,31,148,657,28,24,723,715,.257,.349,.394,.743,97,2026,112,35,87,59,36,1233
1955,AL,Detroit Tigers,41,26.7,5.03,154,6073,5283,775,1407,211,38,130,724,41,22,638,581,.266,.344,.394,.739,101,2084,130,21,71,57,42,1166
1955,AL,Kansas City Athletics,52,28.7,4.12,155,5918,5335,638,1395,189,46,121,592,22,36,462,718,.261,.321,.382,.704,89,2039,146,26,58,34,34,1086
1955,AL,New York Yankees,40,28.0,4.94,154,5944,5161,761,1342,179,55,175,717,55,25,607,655,.260,.340,.418,.758,105,2156,99,46,79,49,48,1114
1955,AL,Washington Nationals,40,27.3,3.88,154,5833,5142,598,1277,178,54,80,566,25,32,537,651,.248,.322,.351,.672,85,1803,127,36,79,38,23,1106
1960,NL,Chicago Cubs,47,28.1,4.06,156,5963,5311,634,1293,213,48,119,600,51,34,531,897,.243,.313,.369,.681,88,1959,109,19,64,35,69,1068
1960,NL,Cincinnati Reds,41,27.3,4.16,154,5944,5289,640,1324,230,40,140,604,73,37,512,858,.250,.318,.388,.706,91,2054,110,34,60,45,44,1101
1960,NL,Los Angeles Dodgers,37,27.7,4.30,154,5936,5227,662,1333,216,38,126,606,95,53,529,837,.255,.324,.383,.707,89,2003,108,27,102,50,46,1095
1960,NL,Milwaukee Braves,36,30.0,4.70,154,5869,5263,724,1393,198,48,170,681,69,37,463,793,.265,.323,.417,.741,109,2197,101,23,59,60,53,1025
1960,NL,Philadelphia Phillies,40,26.1,3.55,154,5749,5169,546,1235,196,44,99,503,45,48,448,1054,.239,.302,.351,.653,80,1816,104,33,66,32,40,1021
1960,NL,Pittsburgh Pirates,37,28.6,4.74,155,6031,5406,734,1493,236,56,120,689,34,24,486,747,.276,.335,.407,.743,102,2201,119,20,69,48,71,1149
1960,NL,San Francisco Giants,33,26.8,4.30,156,5926,5324,671,1357,220,62,130,622,86,45,467,846,.255,.317,.393,.709,99,2091,106,33,60,39,61,1076
1960,NL,St. Louis Cardinals,47,28.6,4.12,155,5810,5187,639,1317,213,48,138,592,48,35,501,792,.254,.321,.393,.715,89,2040,118,31,52,35,63,1068
1960,AL,Baltimore Orioles,41,27.8,4.43,154,5914,5170,682,1307,206,33,123,640,37,24,596,800,.253,.332,.377,.709,93,1948,127,36,72,37,36,1133
1960,AL,Boston Red Sox,42,29.0,4.27,154,5937,5215,658,1359,234,32,124,623,34,28,570,799,.261,.333,.389,.722,93,2029,153,25,70,51,33,1157
1960,AL,Chicago White Sox,39,31.0,4.81,154,5968,5191,741,1402,242,38,112,684,122,48,567,648,.270,.345,.396,.741,101,2056,133,54,95,59,36,1113
1960,AL,Cleveland Indians,44,28.2,4.33,154,5923,5296,667,1415,218,20,127,632,58,25,444,571,.267,.325,.388,.713,95,2054,113,32,97,52,41,1099
1960,AL,Detroit Tigers,37,28.7,4.11,154,5993,5202,633,1243,188,34,150,601,66,32,636,728,.239,.324,.375,.698,86,1949,117,33,85,34,31,1138
1960,AL,Kansas City Athletics,41,28.3,3.97,155,5860,5226,615,1303,212,34,110,566,16,11,513,744,.249,.316,.366,.682,84,1913,154,12,75,32,22,1065
1960,AL,New York Yankees,38,28.1,4.81,155,5983,5290,746,1377,215,40,193,699,37,23,537,818,.260,.329,.426,.755,108,2251,112,28,81,45,41,1097
1960,AL,Washington Senators,37,27.4,4.36,154,6008,5248,672,1283,205,43,147,626,52,43,584,883,.244,.324,.384,.708,90,2015,130,48,86,38,42,1103
1965,NL,Chicago Cubs,40,27.9,3.87,164,6205,5540,635,1316,202,33,134,590,65,47,532,948,.238,.307,.358,.666,86,1986,115,43,48,42,62,1133
1965,NL,Cincinnati Reds,34,26.2,5.09,162,6356,5658,825,1544,268,61,183,776,82,40,538,1003,.273,.339,.439,.778,112,2483,120,50,73,36,89,1182
1965,NL,Houston Astros,48,27.0,3.51,162,6122,5483,569,1299,188,42,97,523,90,37,502,877,.237,.305,.340,.644,88,1862,125,46,57,34,46,1126
1965,NL,Los Angeles Dodgers,33,27.9,3.75,162,6108,5425,608,1329,193,32,78,548,172,77,492,891,.245,.312,.335,.647,89,1820,79,52,103,35,57,1118
1965,NL,Milwaukee Braves,37,28.0,4.37,162,6077,5541,708,1419,243,28,196,664,64,37,408,976,.256,.310,.416,.726,103,2306,121,37,58,32,50,1041
1965,NL,New York Mets,43,26.4,3.02,164,5976,5441,495,1202,203,27,107,460,28,42,392,1129,.221,.277,.327,.604,74,1780,121,39,76,28,40,1032
1965,NL,Philadelphia Phillies,33,27.2,4.04,162,6179,5528,654,1380,205,53,144,608,46,32,494,1091,.250,.313,.384,.697,97,2123,115,36,75,39,60,1128
1965,NL,Pittsburgh Pirates,33,28.2,4.14,163,6250,5686,675,1506,217,57,111,631,51,38,419,1008,.265,.317,.382,.699,96,2170,138,35,67,42,75,1155
1965,NL,San Francisco Giants,40,26.6,4.18,163,6119,5495,682,1384,169,43,159,623,47,27,476,844,.252,.313,.385,.698,94,2116,149,31,80,37,68,1077
1965,NL,St. Louis Cardinals,35,28.4,4.36,162,6207,5579,707,1415,234,46,109,645,100,52,477,882,.254,.314,.371,.685,86,2068,98,35,72,41,49,1117
1965,AL,Baltimore Orioles,34,27.4,3.96,162,6138,5450,641,1299,227,38,125,596,67,31,529,907,.238,.307,.363,.670,89,1977,139,28,95,36,61,1097
1965,AL,Boston Red Sox,30,26.7,4.13,162,6222,5487,669,1378,244,40,165,629,47,24,607,964,.251,.327,.400,.727,101,2197,157,30,57,39,44,1183
1965,AL,California Angels,42,26.4,3.25,162,5958,5354,527,1279,200,36,92,486,107,57,443,973,.239,.297,.341,.639,84,1827,99,22,93,44,48,1082
1965,AL,Chicago White Sox,34,27.9,3.99,162,6218,5509,647,1354,200,38,125,587,50,33,533,916,.246,.315,.364,.679,99,2005,127,43,89,43,62,1164
1965,AL,Cleveland Indians,39,27.5,4.09,162,6138,5469,663,1367,198,21,156,615,109,46,506,857,.250,.315,.379,.695,96,2075,97,33,90,40,63,1121
1965,AL,Detroit Tigers,37,26.9,4.20,162,6064,5368,680,1278,190,27,162,634,57,41,554,952,.238,.312,.374,.686,94,2008,122,37,69,36,50,1049
1965,AL,Kansas City Athletics,44,25.9,3.61,162,6058,5393,585,1294,186,59,110,546,110,51,521,1020,.240,.309,.358,.667,90,1928,120,35,74,35,29,1109
1965,AL,Minnesota Twins,35,27.4,4.78,162,6217,5488,774,1396,257,42,150,711,92,33,554,969,.254,.324,.399,.722,100,2187,93,35,77,59,79,1123
1965,AL,New York Yankees,40,28.3,3.77,162,6082,5470,611,1286,196,31,149,576,35,20,489,951,.235,.299,.364,.663,89,1991,118,19,72,31,62,1083
1965,AL,Washington Senators,40,28.4,3.65,162,6080,5374,591,1227,179,33,136,563,30,19,570,1125,.228,.304,.350,.654,88,1880,112,34,63,37,36,1149
1970,NL,Atlanta Braves,37,29.5,4.54,162,6202,5546,736,1495,215,24,160,692,58,34,522,736,.270,.334,.404,.738,93,2238,140,38,54,42,72,1157
1970,NL,Chicago Cubs,43,30.0,4.98,162,6229,5491,806,1424,228,44,179,761,39,16,607,844,.259,.333,.415,.748,91,2277,110,20,75,36,65,1130
1970,NL,Cincinnati Reds,33,25.9,4.78,162,6227,5540,775,1498,253,45,191,726,115,52,547,984,.270,.336,.436,.772,103,2414,119,29,58,48,70,1178
1970,NL,Houston Astros,38,26.6,4.59,162,6306,5574,744,1446,250,47,129,694,114,41,598,911,.259,.332,.391,.722,97,2177,144,27,63,43,81,1186
1970,NL,Los Angeles Dodgers,37,27.9,4.65,161,6293,5606,749,1515,233,67,87,695,138,57,541,841,.270,.334,.382,.717,96,2143,113,24,72,50,67,1185
1970,NL,Montreal Expos,40,27.7,4.24,162,6251,5411,687,1284,211,35,136,646,65,45,659,972,.237,.323,.365,.687,85,1973,106,39,107,35,64,1219
1970,NL,New York Mets,34,26.5,4.29,162,6275,5443,695,1358,211,42,120,640,118,54,684,1062,.249,.333,.370,.703,89,2013,139,26,74,48,60,1211
1970,NL,Philadelphia Phillies,39,26.8,3.69,161,6102,5456,594,1299,224,58,101,553,72,64,519,1066,.238,.305,.356,.661,79,1942,133,25,62,37,59,1093
1970,NL,Pittsburgh Pirates,39,27.8,4.50,162,6231,5637,729,1522,235,70,130,676,66,34,444,871,.270,.325,.406,.731,98,2287,117,44,53,53,82,1177
1970,NL,San Diego Padres,37,26.6,4.20,162,6146,5494,681,1353,208,36,172,629,60,45,500,1164,.246,.312,.391,.703,92,2149,111,39,83,29,46,1093
1970,NL,San Francisco Giants,38,27.9,5.13,162,6469,5578,831,1460,257,35,165,773,83,27,729,1005,.262,.351,.409,.760,104,2282,144,56,66,40,95,1275
1970,NL,St. Louis Cardinals,47,27.6,4.59,162,6378,5689,744,1497,218,51,113,688,117,47,569,961,.263,.331,.379,.710,89,2156,138,26,52,40,65,1199
1970,AL,Baltimore Orioles,32,28.8,4.89,162,6417,5545,792,1424,213,25,179,748,84,39,717,952,.257,.344,.401,.745,105,2224,110,44,64,46,64,1262
1970,AL,Boston Red Sox,40,26.5,4.85,162,6251,5535,786,1450,252,28,203,743,50,48,594,855,.262,.335,.428,.763,103,2367,137,40,34,47,47,1149
1970,AL,California Angels,40,26.6,3.90,162,6115,5532,631,1391,197,40,114,598,69,27,447,922,.251,.309,.363,.672,89,2010,118,29,69,37,56,1115
1970,AL,Chicago White Sox,43,27.1,3.91,162,6134,5514,633,1394,192,20,123,587,53,33,477,872,.253,.315,.362,.676,86,1995,132,42,51,48,41,1145
1970,AL,Cleveland Indians,36,26.3,4.01,162,6125,5463,649,1358,197,23,183,617,25,36,503,909,.249,.314,.394,.707,91,2150,119,37,76,45,42,1111
1970,AL,Detroit Tigers,35,28.7,4.11,162,6200,5377,666,1282,207,38,148,619,29,30,656,825,.238,.322,.374,.696,91,2009,134,34,83,49,56,1186
1970,AL,Kansas City Royals,38,26.4,3.77,162,6130,5503,611,1341,202,41,97,572,97,53,514,958,.244,.309,.348,.657,82,1916,126,21,63,27,42,1074
1970,AL,Milwaukee Brewers,45,29.2,3.76,163,6175,5395,613,1305,202,24,126,571,91,73,592,985,.242,.319,.358,.678,87,1933,132,36,115,32,54,1162
1970,AL,Minnesota Twins,35,28.6,4.59,162,6143,5483,744,1438,230,41,153,694,57,52,501,905,.262,.327,.403,.730,98,2209,132,42,79,38,65,1103
1970,AL,New York Yankees,34,27.2,4.17,163,6214,5492,680,1381,208,41,111,627,105,61,588,808,.251,.324,.365,.689,94,2004,115,25,60,46,48,1152
