1930 NNL Season:
Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,
GDP,HBP,SH,SF,IBB,LOB
Birmingham Black
Barons,30,23.9,4.81,74,2563,2400,356,682,82,55,29,317,76,,163,,.284,.330,.400,.730,97,
961,,0,,,,
Chicago American
Giants,34,28.8,4.35,81,2862,2618,352,694,89,35,15,312,31,,241,,.265,.328,.343,.671,82,
898,,3,,,,
Cuban Stars
West,14,23.9,4.38,48,1731,1575,210,372,43,22,21,189,36,,152,,.236,.305,.331,.636,72,5
22,,4,,,,
Detroit
Stars,19,27.4,5.18,72,2557,2364,373,640,103,57,25,339,61,,193,,.271,.326,.394,.720,94,
932,,0,,,,
Kansas City
Monarchs,18,28.2,5.78,67,2524,2285,387,644,120,38,23,339,75,,235,,.282,.350,.398,.748
,102,909,,4,,,,
Louisville Black
Caps,21,22.0,3.74,23,816,756,86,172,24,11,6,71,9,,58,,.228,.284,.312,.596,61,236,,2,,,,
Memphis Red
Sox,36,25.5,4.77,71,2555,2387,339,664,107,39,13,309,42,,167,,.278,.326,.372,.698,88,88
8,,1,,,,
Nashville Elite
Giants,30,22.8,4.02,46,1617,1511,185,384,56,25,13,172,21,,106,,.254,.303,.350,.653,76,
529,,0,,,,
St. Louis
Stars,19,28.1,7.83,93,3611,3256,728,1045,161,49,76,665,82,,345,,.321,.388,.471,.858,13
1,1532,,10,,,,

1925 NNL Season:
Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,
GDP,HBP,SH,SF,IBB,LOB
Indianapolis
ABCs,35,22.7,4.58,57,2072,1919,261,482,59,28,21,242,37,,153,222,.251,.306,.344,.650,7
4,660,,,,,,
Birmingham Black
Barons,31,26.8,4.95,76,2805,2647,376,710,92,42,33,353,61,,158,265,.268,.309,.372,.682
,82,985,,,,,,
Chicago American
Giants,31,28.8,4.45,89,3120,2834,396,683,99,31,20,353,59,,286,292,.241,.311,.319,.630,
70,904,,,,,,
Cuban Stars
West,17,23.5,5.67,43,1673,1530,244,402,71,20,19,224,34,,143,190,.263,.326,.373,.698,8
7,570,,,,,,
Detroit
Stars,25,23.1,6.61,95,3590,3277,628,945,146,70,83,604,128,,313,330,.288,.350,.452,.80
2,114,1480,,,,,,
Kansas City
Monarchs,18,28.4,5.59,80,2959,2701,447,762,116,68,20,439,79,,258,303,.282,.345,.398,.
742,99,1074,,,,,,
Memphis Red
Sox,20,21.1,4.36,76,2737,2540,331,635,95,37,19,305,61,,197,247,.250,.304,.339,.643,73,
861,,,,,,
St. Louis
Stars,26,22.6,7.09,87,3372,3027,617,956,187,55,87,557,116,,345,338,.316,.386,.500,.88
6,136,1514,,,,,,

1925 ECL Season:
Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,
GDP,HBP,SH,SF,IBB,LOB
Atlantic City Bacharach
Giants,25,28.4,4.84,73,2673,2447,353,663,64,24,28,324,54,,226,271,.271,.333,.351,.684,
77,859,,,,,,
Baltimore Black
Sox,23,24.9,5.11,65,2325,2143,332,621,105,20,35,299,61,,182,196,.290,.345,.406,.752,9
4,871,,,,,,
Brooklyn Royal
Giants,15,27.2,5.20,35,1252,1175,182,322,38,5,29,169,14,,77,128,.274,.319,.389,.708,82
,457,,,,,,
Cuban Stars
,542,,,,,,
Harrisburg
6,115,1185,,,,,,
Hilldale
,112,1067,,,,,,
New York Lincoln
85,639,,,,,,
Wilmington
69,99,423,,,,,,
East,16,28.1,5.02,45,1687,1527,226,401,56,17,17,179,21,,160,164,.263,.333,.355,.687,78
Giants,20,26.4,6.77,73,2784,2559,494,813,113,32,65,449,73,,225,223,.318,.373,.463,.83
Club,18,28.7,6.51,71,2564,2348,462,731,138,42,38,400,116,,216,174,.311,.369,.454,.824
Giants,35,25.7,4.55,49,1816,1662,223,449,65,10,35,206,35,,154,229,.270,.332,.384,.717,
Potomacs,22,24.8,5.25,32,1148,1041,168,309,42,9,18,131,33,,107,131,.297,.362,.406,.7

1920 NNL Season:
Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,
GDP,HBP,SH,SF,IBB,LOB
Indianapolis
ABCs,31,26.1,4.53,95,3564,3125,430,806,97,41,13,346,78,,290,403,.258,.324,.328,.651,9
4,1024,,13,136,,,
Chicago American
Giants,23,26.9,4.99,67,2469,2119,334,539,75,28,4,293,59,,240,305,.254,.335,.322,.657,9
6,682,,18,92,,,
Chicago
Giants,23,24.0,3.50,40,1507,1331,140,312,40,14,5,120,20,,112,200,.234,.300,.297,.597,7
8,395,,13,51,,,
Cuban Stars
West,13,24.8,4.67,61,2339,2055,285,512,66,18,9,229,66,,186,238,.249,.318,.312,.629,88
,641,,20,78,,,
Dayton
Marcos,25,26.9,3.79,42,1571,1405,159,328,42,16,3,129,49,,109,210,.233,.296,.293,.588,
75,411,,15,42,,,
Detroit
Stars,25,25.5,5.00,64,2423,2095,320,534,93,23,28,275,50,,234,260,.255,.334,.361,.695,1
07,757,,15,79,,,
Kansas City
Monarchs,26,24.9,5.05,78,3039,2688,394,742,113,39,20,325,98,,206,308,.276,.331,.369,.
700,109,993,,15,130,,,
St. Louis
8,672,,51,84,,,
Giants,29,27.9,3.90,67,2489,2175,261,544,69,16,9,216,80,,179,302,.250,.322,.309,.631,8

1915 FL Season:
Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,
GDP,HBP,SH,SF,IBB,LOB
Baltimore
Terrapins,39,28.7,3.57,154,5754,5060,550,1235,196,53,36,465,128,,470,619,.244,.313,.3
25,.638,85,1645,,37,178,,,1022
Brooklyn Tip-
Tops,38,26.2,4.23,153,5729,5035,647,1348,205,75,36,561,249,,473,629,.268,.336,.360,.6
96,105,1811,,47,156,,,967
Buffalo
Blues,28,29.9,3.75,153,5632,5065,574,1261,193,68,40,506,184,,420,575,.249,.309,.338,.
646,88,1710,,19,120,,,972
Chicago
Whales,29,26.5,4.14,155,5796,5133,641,1320,185,77,50,558,161,,444,580,.257,.320,.352
,.672,102,1809,,30,181,,,971
Kansas City
Packers,22,29.8,3.58,153,5568,4937,547,1206,200,66,28,483,144,,368,484,.244,.303,.32
9,.631,88,1622,,46,202,,,957
Newark
Pepper,28,27.0,3.77,155,5790,5097,585,1283,210,80,17,487,184,,438,519,.252,.315,.334,
.649,95,1704,,34,202,,,995
Pittsburgh
Rebels,31,29.7,3.79,156,5739,5040,592,1318,180,80,20,507,224,,448,529,.262,.326,.341,
.667,96,1718,,38,206,,,1014
St. Louis
Terriers,25,27.4,3.99,159,5999,5145,634,1344,199,81,23,546,195,,576,489,.261,.340,.345
,.685,97,1774,,36,235,,,1095

1890 PL Season:
Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,
GDP,HBP,SH,SF,IBB,LOB
Boston
Reds,18,29.3,7.75,133,5458,4754,1031,1352,236,79,58,807,426,,661,449,.284,.377,.404,.
781,105,1920,,43,,,,
Buffalo
Bisons,26,29.0,5.92,134,5432,4795,793,1249,180,64,20,630,160,,541,367,.260,.347,.337,
.684,89,1617,,96,,,,
Brooklyn Ward's
Wonders,17,26.4,7.25,133,5431,4887,964,1352,186,93,34,748,272,,502,369,.277,.349,.3
74,.723,88,1826,,42,,,,
Chicago White
Stockings,16,27.0,6.42,138,5503,4968,886,1311,200,95,31,705,276,,492,410,.264,.335,.3
61,.697,83,1794,,43,,,,
Cleveland
Infants,21,26.8,6.48,131,5362,4804,849,1370,213,94,27,701,180,,509,345,.285,.360,.386,
.745,105,1852,,49,,,,
New York
Giants,17,30.1,7.71,132,5430,4913,1018,1393,204,97,66,793,231,,486,364,.284,.352,.40
5,.757,94,1989,,31,,,,
Pittsburgh
Burghers,17,26.7,6.48,131,5316,4677,849,1212,170,114,35,664,251,,582,381,.259,.348,.
367,.715,98,1715,,57,,,,
Philadelphia
Athletics,16,27.3,7.13,132,5337,4855,941,1350,187,113,49,761,203,,431,321,.278,.343,.3
93,.737,94,1910,,51,,,,

1890 AA Season:
Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,
GDP,HBP,SH,SF,IBB,LOB
Baltimore
Orioles,18,25.1,4.79,38,1366,1213,182,278,34,16,2,119,101,,125,152,.229,.316,.289,.604
,70,350,,28,,,,
Brooklyn
Gladiators,22,29.3,4.92,100,3834,3475,492,769,116,47,13,328,182,,328,456,.221,.294,.2
93,.587,74,1018,,31,,,,
Columbus
Solons,20,25.5,5.94,140,5332,4741,831,1225,159,77,16,620,353,,545,557,.258,.341,.335,
.675,103,1586,,46,,,,
Louisville
Colonels,21,24.6,6.11,134,5150,4687,819,1310,156,65,15,608,341,,410,460,.279,.344,.3
50,.694,105,1641,,53,,,,
Philadelphia
Athletics,44,27.3,5.32,132,5052,4490,702,1057,181,51,24,508,305,,475,540,.235,.320,.31
4,.635,87,1412,,87,,,,
Rochester
