Year League,Rk,Tm,W,L,W-L%,GB,GBsum,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,1Run,vRHP,vLHP,≥.500,<.500,ExInn,Ties
1876 NL,3,St. Louis Brown Stockings,45,19,0.703,,,6.0,3.6,2.5,-0.2,2.3,46-18,-1.0,24-6,21-13,5-4,45-19,0-0,18-12,27-7,,
1876 NL,4,Boston Reds,39,31,0.557,,,6.7,6.4,0.3,-0.1,0.2,36-34,3.0,19-17,20-14,10-5,39-31,0-0,7-23,32-8,,
1876 NL,5,Louisville Grays,30,36,0.455,,,4.1,5.0,-0.9,0.1,-0.8,27-39,3.0,15-16,15-20,3-5,30-36,0-0,11-29,19-7,,
1876 NL,6,New York Mutuals,21,35,0.375,,,4.6,7.2,-2.7,0.2,-2.4,17-39,4.0,13-20,8-15,6-4,21-35,0-0,8-25,13-10,,
1876 NL,7,Philadelphia Athletics,14,45,0.237,,,6.3,8.9,-2.6,0.3,-2.3,20-39,-6.0,10-24,4-21,2-7,14-45,0-0,3-33,11-12,,
1876 NL,8,Cincinnati Reds,9,56,0.138,,,3.7,8.9,-5.2,0.7,-4.5,11-54,-2.0,6-24,3-32,2-4,9-56,0-0,3-36,6-20,,
1915 NL,1,Philadelphia Phillies,90,62,0.592,--,,3.8,3.0,0.8,-0.1,0.7,92-60,-2.0,49-27,41-35,24-24,75-56,15-6,23-20,67-42,10-6,
1915 NL,2,Boston Braves,83,69,0.546,7.0,7.0,3.7,3.5,0.2,0.0,0.2,81-71,2.0,49-27,34-42,30-21,51-48,32-21,21-22,62-47,8-3,
1915 NL,3,Brooklyn Dodgers,80,72,0.526,10.0,13.0,3.5,3.6,-0.2,0.0,-0.1,73-79,7.0,51-26,29-46,32-20,51-53,29-19,21-23,59-49,6-7,
1915 NL,4,Chicago Cubs,73,80,0.477,17.5,35.5,3.7,4.0,-0.3,0.0,-0.3,71-82,2.0,42-34,31-46,20-31,43-56,30-24,27-38,46-42,8-8,
1915 NL,5,Pittsburgh Pirates,73,81,0.474,18.0,37.5,3.6,3.3,0.2,0.0,0.2,82-72,-9.0,40-37,33-44,21-26,58-60,15-21,30-36,43-45,5-7,
1915 NL,6,St. Louis Cardinals,72,81,0.471,18.5,40.0,3.8,3.8,-0.1,0.0,-0.1,75-78,-3.0,42-36,30-45,21-29,51-61,21-20,30-35,42-46,7-10,
1915 NL,7,Cincinnati Reds,71,83,0.461,20.0,49.0,3.2,3.7,-0.4,0.1,-0.4,68-86,3.0,39-37,32-46,28-21,63-78,8-5,27-39,44-44,8-5,
1915 NL,8,New York Giants,69,83,0.454,21.0,56.0,3.8,4.1,-0.3,0.0,-0.3,71-81,-2.0,37-38,32-45,20-24,55-67,14-16,24-40,45-43,4-10,
1905 NL,1,New York Giants,105,48,0.686,--,,5.0,3.3,1.8,-0.2,1.6,105-48,0.0,54-21,51-27,29-19,96-41,9-7,54-33,51-15,,
1905 NL,2,Pittsburgh Pirates,96,57,0.627,9.0,9.0,4.5,3.7,0.8,-0.1,0.7,90-63,6.0,49-28,47-29,32-16,86-48,10-9,51-37,45-20,,
1905 NL,3,Chicago Cubs,92,61,0.601,13.0,17.0,4.3,2.9,1.5,-0.2,1.3,104-49,-12.0,54-25,38-36,30-32,81-53,11-8,44-43,48-18,,
1905 NL,4,Philadelphia Phillies,83,69,0.546,21.5,42.5,4.6,3.9,0.7,-0.1,0.6,87-65,-4.0,39-36,44-33,18-25,73-62,10-7,32-55,51-14,,
1905 NL,5,Cincinnati Reds,79,74,0.516,26.0,60.5,4.7,4.5,0.2,0.0,0.2,80-73,-1.0,50-28,29-46,21-22,69-62,10-12,37-50,42-24,,
1905 NL,6,St. Louis Cardinals,58,96,0.377,47.5,168.0,3.5,4.8,-1.3,0.2,-1.1,55-99,3.0,32-45,26-51,24-26,53-80,5-16,32-78,26-18,,
