Rk,Tm,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,1Run,vRHP,vLHP,≥.500,<.500
1,Chicago White Stockings,67,17,.798,6.3,3.7,2.6,-0.3,2.2,61-23,6,37-5,30-12,12-4,53-14,14-3,17-7,50-10
2,Providence Grays,52,32,.619,4.8,3.4,1.4,-0.2,1.2,55-29,-3,31-12,21-20,11-12,47-25,5-7,12-12,40-20
3,Cleveland Blues,47,37,.560,4.6,4.0,0.6,-0.1,0.5,47-37,0,24-19,23-18,11-8,39-32,8-5,7-17,40-20
4,Troy Trojans,41,42,.494,4.7,5.3,-0.6,0.1,-0.5,37-46,4,20-21,21-21,8-11,34-30,7-12,10-26,31-16
5,Worcester Ruby Legs,40,43,.482,4.8,4.4,0.5,0.0,0.5,46-37,-6,24-17,16-26,10-10,38-42,2-1,14-22,26-21
6,Boston,40,44,.476,4.8,5.3,-0.5,0.0,-0.4,38-46,2,25-17,15-27,13-8,36-41,4-3,13-23,27-21
7,Buffalo Bisons,24,58,.293,3.9,5.9,-2.0,0.2,-1.8,26-56,-2,13-28,11-30,10-13,16-53,8-4,6-30,18-28
8,Cincinnati Stars,21,59,.263,3.6,5.7,-2.1,0.3,-1.8,24-56,-3,14-25,7-34,4-13,16-50,5-9,7-29,14-30
