Rk,Tm,W,L,W-L%,GB,GBsum,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,Pittsburgh Pirates,95,58,.621,--,,6.0,4.7,1.3,-0.2,1.1,93-60,2,52-25,43-33,6-6,27-20,76-49,19-9,39-26,56-32
2,New York Giants,86,66,.566,8.5,8.5,4.8,4.6,0.2,0.0,0.2,79-73,7,47-29,39-37,6-5,28-16,60-47,26-19,35-30,51-36
3,Cincinnati Reds,80,73,.523,15.0,21.5,4.5,4.2,0.3,0.0,0.3,81-72,-1,44-32,36-41,9-7,19-26,64-57,16-16,29-36,51-37
4,St. Louis Cardinals,77,76,.503,18.0,30.5,5.4,5.0,0.4,-0.1,0.4,82-71,-5,48-28,29-48,5-5,15-19,57-58,20-18,27-38,50-38
5,Boston Braves,70,83,.458,25.0,58.5,4.6,5.2,-0.6,0.1,-0.5,68-85,2,37-39,33-44,7-9,20-24,44-57,26-26,39-49,31-34
6,Brooklyn Robins,68,85,.444,27.0,68.5,5.1,5.7,-0.5,0.1,-0.5,70-83,-2,40-37,28-48,5-5,20-20,39-44,29-41,38-50,30-35
7,Philadelphia Phillies,68,85,.444,27.0,68.5,5.3,6.1,-0.8,0.1,-0.7,67-86,1,38-39,30-46,5-8,16-19,55-58,13-27,29-58,39-27
8,Chicago Cubs,68,86,.442,27.5,72.0,4.7,5.0,-0.3,0.0,-0.3,72-82,-4,37-40,31-46,7-5,18-19,45-67,23-19,37-51,31-35
