Rk,Tm,W,L,W-L%,GB,GBsum,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,Cleveland Indians,98,56,.636,--,,5.6,4.2,1.4,-0.2,1.2,97-57,1,51-27,47-29,5-6,23-23,67-35,31-21,21-23,77-33
2,Chicago White Sox,96,58,.623,2.0,2.0,5.2,4.3,0.8,-0.1,0.7,89-65,7,52-25,44-33,14-5,26-16,63-43,33-15,20-24,76-34
3,New York Yankees,95,59,.617,3.0,4.0,5.4,4.1,1.4,-0.2,1.2,97-57,-2,49-28,46-31,7-2,23-18,71-49,24-10,25-19,70-40
4,St. Louis Browns,76,77,.497,21.5,59.5,5.2,5.0,0.2,0.0,0.2,79-74,-3,40-38,36-39,3-10,20-18,50-54,26-23,25-41,51-36
5,Boston Red Sox,72,81,.471,25.5,75.5,4.2,4.5,-0.3,0.0,-0.3,72-81,0,41-35,31-46,10-8,24-29,56-65,16-16,27-39,45-42
6,Washington Nationals,68,84,.447,29.0,93.0,4.7,5.2,-0.5,0.1,-0.4,69-83,-1,37-38,31-46,5-8,21-27,48-61,20-23,23-43,45-41
7,Detroit Tigers,61,93,.396,37.0,141.0,4.2,5.4,-1.2,0.1,-1.0,60-94,1,32-46,29-47,6-9,22-22,48-72,13-21,17-49,44-44
8,Philadelphia Athletics,48,106,.312,50.0,232.0,3.6,5.3,-1.8,0.2,-1.6,50-104,-2,25-50,23-56,4-6,16-22,31-81,17-25,15-51,33-55
