Rk,Tm,W,L,W-L%,GB,GBsum,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,Philadelphia Athletics,102,52,.662,--,,6.2,4.9,1.3,-0.2,1.1,93-61,9,58-18,44-34,6-1,25-14,86-44,16-8,37-29,65-23
2,Washington Nationals,94,60,.610,8.0,8.0,5.8,4.5,1.3,-0.2,1.2,95-59,-1,56-21,38-39,6-5,23-21,61-37,33-23,41-25,53-35
3,New York Yankees,86,68,.558,16.0,24.0,6.9,5.8,1.1,-0.1,0.9,89-65,-3,47-29,39-39,6-5,17-24,62-50,24-18,27-39,59-29
4,Cleveland Indians,81,73,.526,21.0,39.0,5.8,5.9,-0.2,0.0,-0.1,75-79,6,44-33,37-40,4-7,21-18,63-50,18-23,27-39,54-34
5,Detroit Tigers,75,79,.487,27.0,63.0,5.1,5.4,-0.3,0.0,-0.3,73-81,2,45-33,30-46,7-4,26-20,62-60,13-19,37-51,38-28
6,St. Louis Browns,64,90,.416,38.0,118.0,4.9,5.8,-0.9,0.1,-0.8,65-89,-1,38-40,26-50,8-11,24-23,51-72,13-18,30-58,34-32
7,Chicago White Sox,62,92,.403,40.0,130.0,4.7,5.7,-1.0,0.1,-0.9,64-90,-2,34-44,28-48,10-5,23-20,49-70,13-22,32-56,30-36
8,Boston Red Sox,52,102,.338,50.0,200.0,4.0,5.3,-1.3,0.2,-1.1,57-97,-5,30-46,22-56,4-13,17-36,42-76,10-26,22-66,30-36
