Rk,Tm,W,L,W-L%,GB,GBsum,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,1Run,vRHP,vLHP,≥.500,<.500
1,New York Giants,105,48,.686,--,,5.0,3.3,1.8,-0.2,1.6,105-48,0,54-21,51-27,29-19,96-41,9-7,54-33,51-15
2,Pittsburgh Pirates,96,57,.627,9.0,9.0,4.5,3.7,0.8,-0.1,0.7,90-63,6,49-28,47-29,32-16,86-48,10-9,51-37,45-20
3,Chicago Cubs,92,61,.601,13.0,17.0,4.3,2.9,1.5,-0.2,1.3,104-49,-12,54-25,38-36,30-32,81-53,11-8,44-43,48-18
4,Philadelphia Phillies,83,69,.546,21.5,42.5,4.6,3.9,0.7,-0.1,0.6,87-65,-4,39-36,44-33,18-25,73-62,10-7,32-55,51-14
5,Cincinnati Reds,79,74,.516,26.0,60.5,4.7,4.5,0.2,0.0,0.2,80-73,-1,50-28,29-46,21-22,69-62,10-12,37-50,42-24
6,St. Louis Cardinals,58,96,.377,47.5,168.0,3.5,4.8,-1.3,0.2,-1.1,55-99,3,32-45,26-51,24-26,53-80,5-16,32-78,26-18
7,Boston Nationals,51,103,.331,54.5,210.0,3.0,4.7,-1.7,0.2,-1.5,47-107,4,29-46,22-57,21-29,47-90,4-13,32-78,19-25
8,Brooklyn Superbas,48,104,.316,56.5,224.0,3.3,5.2,-1.9,0.2,-1.7,45-107,3,29-47,19-57,20-26,40-90,8-14,27-81,21-23
