Rk,Tm,W,L,Ties,W-L%,GB,GBsum,R,RA,Rdiff
1,Chicago American Giants,43,17,2,.717,--,,5.0,3.2,1.8
2,Kansas City Monarchs,44,33,2,.571,7.5,7.5,5.1,4.5,0.6
3,Detroit Stars,37,27,0,.578,8.0,8.5,5.0,4.4,0.6
4,Indianapolis ABCs,44,38,4,.537,10.0,14.5,4.5,4.8,-0.3
5,Cuban Stars West,35,34,0,.507,12.5,24.5,4.7,4.1,0.6
6,St. Louis Giants,32,40,0,.444,17.0,47.0,3.9,4.7,-0.8
7,Dayton Marcos,16,36,0,.308,23.0,83.0,3.8,5.8,-2.0
8,Chicago Giants,5,31,0,.139,26.0,104.0,3.5,6.0,-2.5
