Rk,Tm,W,L,W-L%,GB,GBsum,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,1Run,vRHP,vLHP,≥.500,<.500
1,St. Louis Browns,79,33,.705,--,,6.0,4.1,1.9,-0.3,1.7,75-37,4,44-11,35-22,18-6,59-21,11-6,20-12,59-21
2,Cincinnati,63,49,.562,16.0,16.0,5.7,5.1,0.6,-0.1,0.5,62-50,1,35-21,28-28,20-13,48-39,8-7,15-17,48-32
3,Allegheny City,56,55,.505,22.5,29.0,4.9,4.9,0.1,0.0,0.1,56-55,0,37-20,19-35,16-15,40-45,4-2,13-19,43-36
4,Philadelphia Athletics,55,57,.491,24.0,33.5,6.8,6.1,0.6,-0.1,0.5,61-51,-6,33-23,22-34,10-15,34-41,8-4,21-27,34-30
5,Brooklyn,53,59,.473,26.0,41.5,5.6,5.8,-0.2,0.0,-0.2,54-58,-1,35-22,18-37,10-12,36-41,11-9,15-33,38-26
6,Louisville Colonels,53,59,.473,26.0,41.5,5.0,5.3,-0.3,0.0,-0.3,53-59,0,37-19,16-40,10-16,43-48,3-8,21-27,32-32
7,New York Metropolitans,44,64,.407,33.0,83.5,4.9,6.4,-1.5,0.2,-1.3,41-67,3,28-24,16-40,11-10,28-52,7-7,18-29,26-35
8,Baltimore Orioles,41,68,.376,36.5,108.0,4.9,6.2,-1.3,0.2,-1.1,43-66,-2,29-26,12-42,9-17,27-48,4-10,14-34,27-34
