Rk,Tm,W,L,W-L%,GB,GBsum,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,Boston Red Sox,101,50,.669,--,,4.3,3.2,1.1,-0.1,0.9,95-56,6,55-20,46-30,7-4,29-21,66-36,35-14,41-24,60-26
2,Detroit Tigers,100,54,.649,2.5,2.5,5.0,3.8,1.2,-0.2,1.0,95-59,5,51-26,49-28,8-6,34-16,66-35,34-19,36-30,64-24
3,Chicago White Sox,93,61,.604,9.5,16.5,4.6,3.3,1.3,-0.2,1.2,100-54,-7,54-24,39-37,6-4,23-26,64-45,29-16,25-41,68-20
4,Washington Nationals,85,68,.556,17.0,39.0,3.7,3.2,0.5,-0.1,0.4,87-66,-2,50-29,35-39,9-6,25-23,67-51,18-17,29-36,56-32
5,New York Yankees,69,83,.454,32.5,101.0,3.8,3.8,0.0,0.0,0.0,76-76,-7,37-43,32-40,7-8,22-32,46-55,23-28,33-55,36-28
6,St. Louis Browns,63,91,.409,39.5,136.0,3.3,4.3,-1.0,0.1,-0.9,59-95,4,35-38,28-53,6-6,23-20,49-70,14-21,27-61,36-30
7,Cleveland Indians,57,95,.375,44.5,166.0,3.5,4.4,-0.9,0.1,-0.8,61-91,-4,27-50,30-45,3-10,21-30,42-74,15-21,21-65,36-30
8,Philadelphia Athletics,43,109,.283,58.5,264.0,3.5,5.8,-2.2,0.3,-2.0,44-108,-1,19-53,24-56,3-5,18-27,31-82,12-27,21-67,22-42
