Rk,Tm,W,L,Ties,W-L%,GB,GBsum,R,RA,Rdiff
1,Kansas City Monarchs,59,23,2,.720,--,,5.6,3.6,2.0
2,St. Louis Stars,59,30,2,.663,3.5,3.5,7.1,5.2,1.9
3,Chicago American Giants,57,41,2,.582,10.0,16.5,4.4,4.0,0.4
4,Detroit Stars,56,44,0,.560,12.0,22.5,6.6,5.9,0.7
5,Cuban Stars West,20,30,0,.400,23.0,66.5,5.7,6.7,-1.0
6,Memphis Red Sox,34,49,1,.410,25.5,79.0,4.4,5.4,-1.0
7,Birmingham Black Barons,27,59,1,.314,34.0,130.0,4.9,6.7,-1.8
8,Indianapolis ABCs,17,53,0,.243,36.0,144.0,4.6,7.8,-3.2
