Rk,Tm,W,L,W-L%,GB,GBsum,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,Philadelphia Phillies,90,62,.592,--,,3.8,3.0,0.8,-0.1,0.7,92-60,-2,49-27,41-35,10-6,24-24,75-56,15-6,23-20,67-42
2,Boston Braves,83,69,.546,7.0,7.0,3.7,3.5,0.2,0.0,0.2,81-71,2,49-27,34-42,8-3,30-21,51-48,32-21,21-22,62-47
3,Brooklyn Dodgers,80,72,.526,10.0,13.0,3.5,3.6,-0.2,0.0,-0.1,73-79,7,51-26,29-46,6-7,32-20,51-53,29-19,21-23,59-49
4,Chicago Cubs,73,80,.477,17.5,35.5,3.7,4.0,-0.3,0.0,-0.3,71-82,2,42-34,31-46,8-8,20-31,43-56,30-24,27-38,46-42
5,Pittsburgh Pirates,73,81,.474,18.0,37.5,3.6,3.3,0.2,0.0,0.2,82-72,-9,40-37,33-44,5-7,21-26,58-60,15-21,30-36,43-45
6,St. Louis Cardinals,72,81,.471,18.5,40.0,3.8,3.8,-0.1,0.0,-0.1,75-78,-3,42-36,30-45,7-10,21-29,51-61,21-20,30-35,42-46
7,Cincinnati Reds,71,83,.461,20.0,49.0,3.2,3.7,-0.4,0.1,-0.4,68-86,3,39-37,32-46,8-5,28-21,63-78,8-5,27-39,44-44
8,New York Giants,69,83,.454,21.0,56.0,3.8,4.1,-0.3,0.0,-0.3,71-81,-2,37-38,32-45,4-10,20-24,55-67,14-16,24-40,45-43
