Rk,Tm,W,L,W-L%,GB,GBsum,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,1Run,vRHP,vLHP,≥.500,<.500
1,Philadelphia Athletics,102,48,.680,--,,4.3,2.9,1.5,-0.2,1.3,103-47,-1,57-19,45-29,23-19,81-37,21-11,43-22,59-26
2,New York Highlanders,88,63,.583,14.5,14.5,4.0,3.6,0.4,-0.1,0.4,84-67,4,49-25,39-38,30-20,78-55,10-8,31-34,57-29
3,Detroit Tigers,86,68,.558,18.0,21.5,4.4,3.8,0.6,-0.1,0.5,88-66,-2,46-31,40-37,19-17,52-36,34-32,32-34,54-34
4,Boston Red Sox,81,72,.529,22.5,35.0,4.1,3.6,0.5,-0.1,0.4,85-68,-4,51-28,30-44,25-27,56-51,25-21,25-41,56-31
5,Cleveland Naps,71,81,.467,32.0,73.0,3.4,4.1,-0.7,0.1,-0.6,63-89,8,39-36,32-45,29-22,64-74,7-7,32-54,39-27
6,Chicago White Sox,68,85,.444,35.5,90.5,2.9,3.1,-0.1,0.0,-0.1,73-80,-5,41-37,27-48,23-33,51-76,17-9,37-50,31-35
7,Washington Nationals,66,85,.437,36.5,96.5,3.2,3.5,-0.3,0.0,-0.3,69-82,-3,38-35,28-50,23-30,49-63,17-22,27-58,39-27
8,St. Louis Browns,47,107,.305,57.0,240.0,2.9,4.7,-1.8,0.2,-1.6,44-110,3,26-51,21-56,22-26,31-83,16-24,24-64,23-43
