Rk,Tm,W,L,W-L%,GB,GBsum,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,St. Louis Cardinals,92,62,.597,--,,6.5,5.1,1.4,-0.2,1.3,94-60,-2,53-24,39-38,4-7,23-31,64-41,28-21,43-45,49-17
2,Chicago Cubs,90,64,.584,2.0,2.0,6.4,5.6,0.8,-0.1,0.7,87-67,3,51-26,39-38,10-2,27-20,71-48,19-16,46-42,44-22
3,New York Giants,87,67,.565,5.0,8.0,6.2,5.3,0.9,-0.1,0.8,88-66,-1,46-31,41-36,7-6,20-23,65-50,22-17,45-43,42-24
4,Brooklyn Robins,86,68,.558,6.0,11.0,5.7,4.8,0.9,-0.1,0.8,89-65,-3,49-28,37-40,6-8,18-23,48-43,38-25,45-43,41-25
5,Pittsburgh Pirates,80,74,.519,12.0,35.0,5.8,6.0,-0.2,0.0,-0.2,74-80,6,42-35,38-39,6-6,24-15,52-43,28-31,41-47,39-27
6,Boston Braves,70,84,.455,22.0,85.0,4.5,5.4,-0.9,0.1,-0.8,64-90,6,39-38,31-46,9-4,34-22,44-58,26-26,43-67,27-17
7,Cincinnati Reds,59,95,.383,33.0,151.0,4.3,5.6,-1.2,0.2,-1.1,59-95,0,37-40,22-55,1-6,26-28,51-68,8-27,38-72,21-23
8,Philadelphia Phillies,52,102,.338,40.0,200.0,6.1,7.7,-1.6,0.2,-1.4,60-94,-8,35-42,17-60,3-7,18-28,28-74,24-28,34-76,18-26
