Rk,Tm,W,L,W-L%,GB,GBsum,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,1Run,vRHP,vLHP,≥.500,<.500
1,Boston Reds,81,48,.628,--,,7.8,5.9,1.9,-0.3,1.5,81-48,0,48-21,33-27,17-8,69-41,8-6,45-29,36-19
2,Brooklyn Ward's Wonders,76,56,.576,6.5,6.5,7.2,6.7,0.5,-0.1,0.4,71-61,5,46-19,30-37,20-15,58-39,12-15,38-36,38-20
3,New York Giants,74,57,.565,8.0,9.5,7.7,6.6,1.1,-0.2,0.9,75-56,-1,47-19,27-38,13-13,60-41,14-13,32-40,42-17
4,Chicago White Stockings,75,62,.547,10.0,15.5,6.4,5.6,0.8,-0.1,0.7,77-60,-2,46-23,29-39,13-18,61-54,12-8,36-41,39-21
5,Philadelphia Athletics,68,63,.519,14.0,31.5,7.1,6.5,0.7,-0.1,0.5,71-60,-3,35-30,33-33,10-19,53-49,13-13,34-39,34-24
6,Pittsburgh Burghers,60,68,.469,20.5,64.0,6.5,7.1,-0.6,0.1,-0.4,59-69,1,37-28,23-40,11-10,42-55,15-13,38-56,22-12
7,Cleveland Infants,55,75,.423,26.5,100.0,6.5,7.8,-1.4,0.3,-1.1,54-76,1,31-30,24-45,17-14,41-58,11-12,39-59,16-16
8,Buffalo Bisons,36,96,.273,46.5,240.0,5.9,8.9,-3.0,0.4,-2.6,42-90,-6,23-42,13-54,5-9,18-59,14-34,24-74,12-22
