Rk,Tm,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,1Run,vRHP,vLHP,≥.500,<.500
1,Chicago White Stockings,52,14,.788,9.5,3.9,5.6,-0.7,4.9,55-11,-3,25-6,27-8,4-6,52-14,0-0,19-11,33-3
2,Hartford Dark Blues,47,21,.691,6.2,3.8,2.4,-0.3,2.1,48-20,-1,23-9,24-12,6-3,47-21,0-0,16-14,31-7
3,St. Louis Brown Stockings,45,19,.703,6.0,3.6,2.5,-0.2,2.3,46-18,-1,24-6,21-13,5-4,45-19,0-0,18-12,27-7
4,Boston Reds,39,31,.557,6.7,6.4,0.3,-0.1,0.2,36-34,3,19-17,20-14,10-5,39-31,0-0,7-23,32-8
5,Louisville Grays,30,36,.455,4.1,5.0,-0.9,0.1,-0.8,27-39,3,15-16,15-20,3-5,30-36,0-0,11-29,19-7
6,New York Mutuals,21,35,.375,4.6,7.2,-2.7,0.2,-2.4,17-39,4,13-20,8-15,6-4,21-35,0-0,8-25,13-10
7,Philadelphia Athletics,14,45,.237,6.3,8.9,-2.6,0.3,-2.3,20-39,-6,10-24,4-21,2-7,14-45,0-0,3-33,11-12
8,Cincinnati Reds,9,56,.138,3.7,8.9,-5.2,0.7,-4.5,11-54,-2,6-24,3-32,2-4,9-56,0-0,3-36,6-20
