Rk,Tm,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,1Run,vRHP,vLHP,≥.500,<.500
1,Brooklyn Superbas,82,54,.603,5.8,5.1,0.7,-0.1,0.6,76-60,6,43-26,39-28,18-17,62-46,19-8,18-19,64-35
2,Pittsburgh Pirates,79,60,.568,5.2,4.4,0.9,-0.1,0.8,81-58,-2,42-28,37-32,20-24,64-41,15-19,22-17,57-43
3,Philadelphia Phillies,75,63,.543,5.7,5.6,0.1,0.0,0.1,70-68,5,45-23,30-40,21-10,64-51,11-12,17-21,58-42
4,Boston,66,72,.478,5.5,5.2,0.3,0.0,0.3,72-66,-6,42-29,24-43,18-19,53-58,13-14,18-42,48-30
5,St. Louis Cardinals,65,75,.464,5.3,5.3,0.0,0.0,0.0,70-70,-5,40-31,25-44,14-25,52-58,13-16,24-36,41-39
6,Chicago Orphans,65,75,.464,4.3,5.1,-0.8,0.1,-0.7,59-81,6,45-30,20-45,22-13,49-60,16-15,27-33,38-42
7,Cincinnati Reds,62,77,.446,4.9,5.2,-0.3,0.0,-0.3,66-73,-4,27-34,35-43,23-23,51-66,11-11,25-34,37-43
8,New York Giants,60,78,.435,5.1,5.8,-0.8,0.1,-0.7,60-78,0,38-31,22-47,18-23,42-65,18-13,26-34,34-44
