Rk,Tm,W,L,W-L%,GB,GBsum,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,1Run,vRHP,vLHP,≥.500,<.500
1,Philadelphia Athletics,21,7,.750,--,,13.4,9.5,3.9,-0.2,3.7,18-10,3,11-3,10-4,3-0,16-7,4-0,7-5,14-2
2,Boston Red Stockings,20,10,.667,2.0,2.0,12.9,9.8,3.2,-0.2,2.9,19-11,1,11-5,9-5,1-3,16-8,3-2,7-5,13-5
3,Chicago White Stockings,19,9,.679,2.0,2.0,10.8,8.6,2.2,0.1,2.3,17-11,2,13-4,6-5,1-0,18-8,1-1,8-6,11-3
4,New York Mutuals,16,17,.485,7.5,19.0,9.2,9.5,-0.3,0.0,-0.4,16-17,0,12-7,4-10,1-3,14-13,1-3,8-9,8-8
5,Washington Olympics,15,15,.500,7.0,17.0,9.7,9.5,0.2,0.1,0.3,15-15,0,8-6,7-9,1-1,12-13,3-2,3-9,12-6
6,Troy Haymakers,13,15,.464,8.0,21.5,12.1,12.5,-0.4,0.0,-0.3,14-14,-1,7-9,6-6,2-0,13-15,0-0,5-10,8-5
7,Cleveland Forest Citys,10,19,.345,11.5,44.5,8.6,11.8,-3.2,0.1,-3.1,10-19,0,3-10,7-9,3-0,8-17,2-2,2-11,8-8
8,Fort Wayne Kekiongas,7,12,.368,9.5,30.5,7.2,12.8,-5.6,0.2,-5.4,5-14,2,5-4,2-8,0-0,6-11,1-1,1-8,6-4
9,Rockford Forest Citys,4,21,.160,15.5,76.5,9.2,11.5,-2.2,0.1,-2.2,10-15,-6,3-4,1-17,0-5,3-19,1-2,0-12,4-9
