Rk,Tm,W,L,W-L%,GB,GBsum,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,Washington Nationals,96,55,.636,--,,5.5,4.4,1.0,-0.1,0.9,90-61,6,53-22,43-33,8-4,27-11,67-40,29-15,49-37,47-18
2,Philadelphia Athletics,88,64,.579,8.5,8.5,5.4,4.7,0.8,-0.1,0.7,87-65,1,51-26,37-38,8-5,22-23,68-46,20-18,47-39,41-25
3,St. Louis Browns,82,71,.536,15.0,21.5,5.8,5.9,0.0,0.0,0.0,76-77,6,45-32,37-39,8-5,26-16,48-45,34-26,44-44,38-27
4,Detroit Tigers,81,73,.526,16.5,26.0,5.8,5.3,0.5,-0.1,0.4,83-71,-2,43-34,38-39,5-10,20-19,54-52,27-21,39-49,42-24
5,Chicago White Sox,79,75,.513,18.5,34.0,5.3,5.0,0.3,0.0,0.2,81-73,-2,44-33,35-42,6-9,18-20,52-47,27-28,39-49,40-26
6,Cleveland Indians,70,84,.455,27.5,79.0,5.0,5.3,-0.2,0.0,-0.2,74-80,-4,37-39,33-45,8-7,24-28,49-56,21-28,45-65,25-19
7,New York Yankees,69,85,.448,28.5,85.0,4.5,5.0,-0.4,0.1,-0.4,71-83,-2,42-36,27-49,9-8,21-32,36-53,33-32,44-66,25-19
8,Boston Red Sox,47,105,.309,49.5,232.0,4.2,6.1,-1.9,0.2,-1.6,51-101,-4,28-47,19-58,4-8,15-24,27-72,20-33,31-77,16-28
