Rk,Tm,W,L,W-L%,GB,GBsum,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,Brooklyn Robins,93,61,.604,--,,4.3,3.4,0.9,-0.1,0.7,93-61,0,49-29,44-32,10-7,27-28,73-46,20-15,37-29,56-32
2,New York Giants,86,68,.558,7.0,7.0,4.4,3.5,0.9,-0.1,0.8,93-61,-7,45-35,41-33,11-7,24-21,52-46,34-22,36-30,50-38
3,Cincinnati Reds,82,71,.536,10.5,14.0,4.1,3.7,0.5,-0.1,0.4,85-68,-3,42-34,40-37,8-11,23-23,55-52,27-19,30-36,52-35
4,Pittsburgh Pirates,79,75,.513,14.0,24.5,3.4,3.6,-0.1,0.0,-0.1,74-80,5,42-35,37-40,13-9,29-23,57-50,22-25,29-37,50-38
5,Chicago Cubs,75,79,.487,18.0,40.5,4.0,4.1,-0.1,0.0,-0.1,75-79,0,43-34,32-45,9-8,19-23,53-54,22-25,36-52,39-27
6,St. Louis Cardinals,75,79,.487,18.0,40.5,4.4,4.4,0.0,0.0,0.0,76-78,-1,38-38,37-41,12-14,23-25,56-57,19-22,38-50,37-29
7,Boston Braves,62,90,.408,30.0,112.5,3.4,4.4,-1.0,0.1,-0.8,59-93,3,36-37,26-53,10-11,26-26,41-59,21-31,34-53,28-37
8,Philadelphia Phillies,62,91,.405,30.5,116.0,3.7,4.7,-1.0,0.1,-0.9,60-93,2,32-45,30-46,8-14,22-24,42-65,20-26,35-53,27-38
