Rk,Tm,W,L,W-L%,GB,GBsum,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,Chicago Cubs,100,54,.649,--,,5.5,3.9,1.6,-0.2,1.4,101-53,-1,56-21,44-33,11-10,25-23,83-47,17-7,37-29,63-25
2,St. Louis Cardinals,96,58,.623,4.0,4.0,5.4,4.1,1.3,-0.2,1.2,96-58,0,53-24,43-34,12-6,23-22,75-49,21-9,33-33,63-25
3,New York Giants,91,62,.595,8.5,13.0,4.9,4.3,0.6,-0.1,0.5,86-67,5,50-27,41-35,13-6,23-11,75-46,16-16,36-30,55-32
4,Pittsburgh Pirates,86,67,.562,13.5,28.0,4.9,4.2,0.6,-0.1,0.6,86-67,0,46-31,40-36,3-6,23-17,45-40,41-27,26-40,60-27
5,Brooklyn Dodgers,70,83,.458,29.5,92.0,4.6,5.0,-0.4,0.0,-0.3,71-82,-1,38-38,32-45,5-8,15-21,59-67,11-16,31-57,39-26
6,Cincinnati Reds,68,85,.444,31.5,102.0,4.2,5.0,-0.8,0.1,-0.7,64-89,4,41-35,27-50,5-8,21-15,56-65,12-20,32-55,36-30
7,Philadelphia Phillies,64,89,.418,35.5,126.0,4.4,5.6,-1.2,0.2,-1.0,60-93,4,35-43,29-46,6-5,23-20,48-59,16-30,32-56,32-33
8,Boston Braves,38,115,.248,61.5,308.0,3.8,5.6,-1.8,0.2,-1.6,50-103,-12,25-50,13-65,1-7,7-31,32-93,6-22,14-73,24-42
