Rk,Tm,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,1Run,vRHP,vLHP,≥.500,<.500
1,Chicago White Stockings,87,25,.777,7.4,4.2,3.2,-0.4,2.8,83-29,4,42-14,45-11,10-9,78-22,8-3,17-15,70-10
2,St. Louis Browns,79,33,.705,6.0,4.1,1.9,-0.3,1.7,75-37,4,44-11,35-22,18-6,59-21,11-6,20-12,59-21
3,New York Giants,85,27,.759,6.2,3.3,2.9,-0.4,2.5,85-27,0,51-10,34-17,22-8,74-24,9-3,21-11,64-16
4,Cincinnati,63,49,.562,5.7,5.1,0.6,-0.1,0.5,62-50,1,35-21,28-28,20-13,48-39,8-7,15-17,48-32
5,Philadelphia,56,54,.509,4.6,4.6,0.0,0.0,0.0,55-55,1,29-26,27-28,13-12,47-50,7-4,10-22,46-32
6,Allegheny City,56,55,.505,4.9,4.9,0.1,0.0,0.1,56-55,0,37-20,19-35,16-15,40-45,4-2,13-19,43-36
7,Philadelphia Athletics,55,57,.491,6.8,6.1,0.6,-0.1,0.5,61-51,-6,33-23,22-34,10-15,34-41,8-4,21-27,34-30
8,Providence Grays,53,57,.482,4.0,4.8,-0.8,0.1,-0.7,46-64,7,31-20,22-37,16-12,51-55,2-2,16-31,37-26
9,Brooklyn,53,59,.473,5.6,5.8,-0.2,0.0,-0.2,54-58,-1,35-22,18-37,10-12,36-41,11-9,15-33,38-26
10,Boston,46,66,.411,4.7,5.2,-0.5,0.1,-0.5,50-62,-4,24-34,22-32,11-20,37-60,8-6,12-36,34-30
11,Louisville Colonels,53,59,.473,5.0,5.3,-0.3,0.0,-0.3,53-59,0,37-19,16-40,10-16,43-48,3-8,21-27,32-32
12,Detroit Wolverines,41,67,.380,4.8,5.4,-0.6,0.1,-0.5,48-60,-7,29-23,12-44,10-17,37-64,4-3,12-36,29-31
13,New York Metropolitans,44,64,.407,4.9,6.4,-1.5,0.2,-1.3,41-67,3,28-24,16-40,11-10,28-52,7-7,18-29,26-35
14,Buffalo Bisons,38,74,.339,4.4,6.8,-2.4,0.3,-2.1,35-77,3,19-34,19-40,10-7,32-64,4-10,6-42,32-32
15,Baltimore Orioles,41,68,.376,4.9,6.2,-1.3,0.2,-1.1,43-66,-2,29-26,12-42,9-17,27-48,4-10,14-34,27-34
16,St. Louis Maroons,36,72,.333,3.5,5.3,-1.8,0.3,-1.6,34-74,2,23-33,13-39,8-15,32-64,3-8,12-35,24-37
