Rk,Tm,W,L,W-L%,GB,GBsum,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,1Run,vRHP,vLHP,≥.500,<.500
1,Philadelphia Athletics,92,56,.622,--,,4.1,3.2,0.9,-0.1,0.8,90-58,2,51-22,41-34,32-28,73-44,19-12,40-25,52-31
2,Chicago White Sox,92,60,.605,2.0,2.0,3.9,2.9,1.0,-0.1,0.9,97-55,-5,50-29,42-31,31-20,70-40,22-20,36-29,56-31
3,Detroit Tigers,79,74,.516,15.5,29.0,3.3,3.9,-0.6,0.1,-0.5,65-88,14,45-30,34-44,32-16,61-46,18-28,32-34,47-40
4,Boston Americans,78,74,.513,16.0,30.5,3.8,3.7,0.1,0.0,0.1,78-74,0,44-32,34-42,24-28,60-47,18-27,23-43,55-31
5,Cleveland Napoleons,76,78,.494,19.0,42.5,3.6,3.8,-0.1,0.0,-0.1,74-80,2,41-36,35-42,23-19,60-52,16-26,36-52,40-26
6,New York Highlanders,71,78,.477,21.5,55.0,3.9,4.1,-0.2,0.0,-0.2,71-78,0,40-35,31-43,20-22,59-50,12-28,31-52,40-26
7,Washington Nationals,64,87,.424,29.5,103.0,3.6,4.0,-0.4,0.1,-0.4,68-83,-4,33-42,31-45,21-32,54-70,10-17,36-49,28-38
8,St. Louis Browns,54,99,.353,40.5,180.0,3.3,3.9,-0.6,0.1,-0.5,65-88,-11,34-42,20-57,17-35,33-75,21-24,30-57,24-42
