Rk,Tm,W,L,W-L%,GB,GBsum,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,1Run,vRHP,vLHP,≥.500,<.500
1,Chicago Cubs,104,50,.675,--,,4.6,3.2,1.4,-0.2,1.2,101-53,3,58-19,46-31,31-18,80-32,24-18,40-26,64-24
2,New York Giants,91,63,.591,13.0,13.0,4.6,3.7,1.0,-0.1,0.8,93-61,-2,52-26,39-37,28-21,58-42,33-21,35-31,56-32
3,Pittsburgh Pirates,86,67,.562,17.5,22.0,4.3,3.7,0.5,-0.1,0.4,85-68,1,46-30,40-37,23-22,70-57,16-10,31-35,55-32
4,Philadelphia Phillies,78,75,.510,25.5,46.0,4.3,4.1,0.2,0.0,0.2,80-73,-2,40-36,38-39,20-19,63-62,15-13,26-40,52-35
5,Cincinnati Reds,75,79,.487,29.0,60.0,4.0,4.4,-0.4,0.0,-0.4,70-84,5,39-37,36-42,23-18,67-73,8-6,34-54,41-25
6,Brooklyn Superbas,64,90,.416,40.0,115.0,3.2,4.0,-0.8,0.1,-0.7,61-93,3,39-39,25-51,19-33,43-69,21-21,33-55,31-35
7,St. Louis Cardinals,63,90,.412,40.5,118.0,4.2,4.7,-0.5,0.1,-0.5,68-85,-5,35-41,28-49,18-20,50-67,13-23,33-54,30-36
8,Boston Doves,53,100,.346,50.5,188.0,3.2,4.5,-1.3,0.2,-1.1,53-100,0,29-48,24-52,17-28,47-84,6-16,23-64,30-36
