Rk,Tm,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,1Run,vRHP,vLHP,≥.500,<.500
1,Baltimore Orioles,87,43,.669,7.7,4.9,2.8,-0.2,2.5,90-40,-3,54-12,33-31,15-13,68-31,17-11,62-33,25-10
2,Cleveland Spiders,84,46,.646,7.0,5.5,1.5,-0.2,1.3,79-51,5,49-13,35-33,22-9,65-42,14-4,54-40,30-6
3,Philadelphia Phillies,78,53,.595,8.0,7.2,0.8,0.0,0.8,72-59,6,51-21,27-32,18-17,58-37,18-15,53-42,25-11
4,Chicago Colts,72,58,.554,6.5,6.4,0.1,0.0,0.1,66-64,6,43-24,29-34,16-12,62-49,10-6,44-51,28-7
5,Brooklyn Grooms,71,60,.542,6.6,6.3,0.3,0.0,0.3,68-63,3,43-22,28-38,16-10,60-58,8-2,46-49,25-11
6,Boston,71,60,.542,6.8,6.2,0.6,-0.1,0.5,71-60,0,48-19,23-41,10-15,61-55,9-4,44-51,27-9
7,Pittsburgh Pirates,71,61,.538,6.1,6.0,0.1,0.0,0.1,67-65,4,44-21,27-40,19-9,56-48,13-11,44-52,27-9
8,Cincinnati Reds,66,64,.508,6.8,6.5,0.4,0.0,0.3,68-62,-2,42-22,24-42,17-16,54-56,10-6,43-53,23-11
9,New York Giants,66,65,.504,6.5,6.3,0.1,0.0,0.2,67-64,-1,40-27,26-38,15-15,54-53,12-10,38-57,28-8
10,Washington Senators,43,85,.336,6.3,7.9,-1.6,0.1,-1.4,51-77,-8,31-34,12-51,7-20,35-75,7-8,32-73,11-12
11,St. Louis Browns,39,92,.298,5.5,7.6,-2.1,0.2,-1.9,47-84,-8,25-41,14-51,9-20,29-80,7-11,27-81,12-11
12,Louisville Colonels,35,96,.267,5.3,8.3,-3.0,0.2,-2.7,40-91,-5,19-38,16-58,9-17,26-78,8-11,23-84,12-12
